"GEO_ID","NAME","B25089_001E","B25089_001EA","B25089_001M","B25089_001MA","B25089_002E","B25089_002EA","B25089_002M","B25089_002MA","B25089_003E","B25089_003M","B25089_003MA","B25089_003EA",
"Geography","Geographic Area Name","Estimate!!Aggregate selected monthly owner costs (dollars):","Annotation of Estimate!!Aggregate selected monthly owner costs (dollars):","Margin of Error!!Aggregate selected monthly owner costs (dollars):","Annotation of Margin of Error!!Aggregate selected monthly owner costs (dollars):","Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)","Annotation of Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)","Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)","Annotation of Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units with a mortgage (dollars)","Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)","Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)","Annotation of Margin of Error!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)","Annotation of Estimate!!Aggregate selected monthly owner costs (dollars):!!Housing units without a mortgage (dollars)",
"0500000US42001","Adams County, Pennsylvania","40977200","null","1201151","null","33644300","null","1236838","null","7332900","317994","null","null",
"0500000US42003","Allegheny County, Pennsylvania","454632700","null","4105011","null","359896100","null","4265517","null","94736700","1601128","null","null",
"0500000US42005","Armstrong County, Pennsylvania","18441200","null","566007","null","13007400","null","647696","null","5433800","241579","null","null",
"0500000US42007","Beaver County, Pennsylvania","56023000","null","1315613","null","42648100","null","1392348","null","13374900","443268","null","null",
"0500000US42009","Bedford County, Pennsylvania","13601000","null","520833","null","10319100","null","534427","null","3281900","146487","null","null",
"0500000US42011","Berks County, Pennsylvania","155279500","null","2834041","null","126645900","null","2878276","null","28633600","1040838","null","null",
"0500000US42013","Blair County, Pennsylvania","33833400","null","1046750","null","25684400","null","1071742","null","8149000","373888","null","null",
"0500000US42015","Bradford County, Pennsylvania","16909100","null","890635","null","12303700","null","929608","null","4605400","190142","null","null",
"0500000US42017","Bucks County, Pennsylvania","369909400","null","4860332","null","312657800","null","5422333","null","57251600","1533508","null","null",
"0500000US42019","Butler County, Pennsylvania","79020700","null","1990212","null","64160700","null","2237605","null","14860000","625075","null","null",
"0500000US42021","Cambria County, Pennsylvania","34802400","null","942418","null","23828400","null","944128","null","10974000","349369","null","null",
"0500000US42023","Cameron County, Pennsylvania","1030100","null","98683","null","619300","null","114921","null","410800","42358","null","null",
"0500000US42025","Carbon County, Pennsylvania","21296100","null","971513","null","16223400","null","1043692","null","5072700","456237","null","null",
"0500000US42027","Centre County, Pennsylvania","51392500","null","1676960","null","42039600","null","1825547","null","9352900","556230","null","null",
"0500000US42029","Chester County, Pennsylvania","309940700","null","4671019","null","267230800","null","4999956","null","42709900","1312390","null","null",
"0500000US42031","Clarion County, Pennsylvania","8583900","null","406519","null","6204700","null","424365","null","2379200","149763","null","null",
"0500000US42033","Clearfield County, Pennsylvania","19869000","null","759933","null","13503900","null","789909","null","6365100","304702","null","null",
"0500000US42035","Clinton County, Pennsylvania","9976200","null","381133","null","7635500","null","399947","null","2340700","164267","null","null",
